idx,value
0,7230
1,9017
2,8482
3,8253
4,7547
5,7434
6,7734
7,7846
8,7699
9,7679
10,8365
11,8465
12,8178
13,8546
14,6981
15,8383
16,7140
17,8406
18,6965
19,7886
20,7795
21,8085
22,8835
23,8949
24,7583
25,8856
26,7160
27,7902
28,7437
29,6972
30,8023
31,7682
32,8686
33,7706
34,8854
35,10071
36,7895
37,8395
38,9215
39,7832
40,8603
41,8386
42,7773
43,8127
44,8145
45,9407
46,8004
47,7663
48,7011
49,8875
50,8268
51,9197
52,8889
53,7968
54,7796
55,8118
56,8235
57,9187
58,7947
59,8313
60,8788
61,8547
62,8229
63,7514
64,8687
65,8741
66,8897
67,6317
68,7937
69,7629
70,6759
71,7781
72,7756
73,8858
74,7437
75,8633
76,7257
77,8009
78,8605
79,7132
80,7160
81,8804
82,7240
83,7626
84,7294
85,9333
86,7367
87,7594
88,9427
89,7640
90,7887
91,7995
92,6841
93,9409
94,8454
95,7145
96,8092
97,8616
98,7582
99,9476
100,8930
101,8591
102,8490
103,8654
104,7064
105,7770
106,8741
107,8737
108,7494
109,8091
110,7896
111,6780
112,7197
113,8757
114,7817
115,7611
116,10017
117,7884
118,7692
119,8444
120,8159
121,8584
122,7083
123,8908
124,9324
125,8067
126,8450
127,8063
128,7463
129,7371
130,6909
131,8688
132,7477
133,8180
134,8210
135,7307
136,8982
137,7258
138,8419
139,7419
140,6963
141,7220
142,9055
143,7781
144,7568
145,8411
146,7590
147,6817
148,7368
149,7091
150,8625
151,8264
152,7772
153,6927
154,6696
155,7697
156,7882
157,6922
158,8258
159,8220
160,8254
161,8147
162,7721
163,7829
164,7543
165,7760
166,8764
167,7072
168,8889
169,8132
170,7686
171,7848
172,8429
173,7960
174,7178
175,7104
176,7512
177,8492
178,9398
179,7978
180,7044
181,6859
182,9290
183,9966
184,7884
185,8139
186,8727
187,8912
188,7939
189,6882
190,7474
191,7005
192,6599
193,8830
194,7164
195,7781
196,7232
197,8742
198,8640
199,8392
200,8326
201,7691
202,7860
203,7470
204,8502
205,7655
206,8155
207,7965
208,9254
209,8537
210,8051
211,7374
212,7168
213,7706
214,6602
215,7147
216,7598
217,7878
218,8477
219,7730
220,8428
221,7785
222,7866
223,8156
224,7470
225,7211
226,8140
227,7576
228,8236
229,8719
230,6898
231,7978
232,8035
233,7954
234,7257
235,8576
236,7497
237,6928
238,8081
239,8629
240,7951
241,8417
242,8249
243,7704
244,6980
245,8742
246,5939
247,6853
248,8297
249,7373
250,8571
251,7912
252,8400
253,7527
254,7595
255,7928
256,7114
257,7073
258,8689
259,9038
260,7713
261,8240
262,8182
263,9133
264,7803
265,7977
266,8496
267,8608
268,8361
269,8323
270,8270
271,7979
272,7603
273,8718
274,6691
275,6812
276,9346
277,8324
278,8233
279,8294
280,7383
281,7482
282,7062
283,8794
284,6495
285,7862
286,7675
287,7114
288,9129
289,7983
290,7776
291,9121
292,9685
293,8690
294,7713
295,8193
296,9183
297,7031
298,8110
299,8656
300,7773
301,9015
302,8557
303,8332
304,7758
305,7938
306,10554
307,8050
308,9538
309,8641
310,8652
311,9150
312,8359
313,7490
314,9092
315,8661
316,9341
317,8393
318,8014
319,10082
320,7381
321,7054
322,9798
323,9257
324,8061
325,7967
326,8149
327,7713
328,7886
329,8137
330,8427
331,8178
332,8661
333,7081
334,7974
335,8021
336,7266
337,6448
338,7982
339,8421
340,8285
341,9028
342,8459
343,7143
344,7237
345,7926
346,9105
347,8360
348,7322
349,7632
350,7898
351,7833
352,7779
353,7448
354,8804
355,8941
356,7478
357,8088
358,7130
359,7227
360,8959
361,8509
362,7703
363,6398
364,8503
365,6503
366,7296
367,6634
368,6827
369,6791
370,7707
371,9976
372,7719
373,8601
374,8278
375,9029
376,8274
377,8298
378,8597
379,8880
380,7275
381,8446
382,7239
383,7763
384,8609
385,8630
386,6888
387,9772
388,7595
389,8909
390,8053
391,7127
392,8344
393,8275
394,8572
395,9851
396,7769
397,7626
398,7173
399,8723
400,7957
401,7563
402,9490
403,9062
404,8953
405,6811
406,7404
407,8637
408,8069
409,7853
410,7840
411,7530
412,7359
413,8825
414,8357
415,9198
416,9620
417,8263
418,8302
419,9233
420,8206
421,8863
422,9144
423,9049
424,7331
425,8612
426,7381
427,6660
428,7928
429,7963
430,8624
431,9422
432,6982
433,7580
434,7353
435,7126
436,6764
437,7240
438,7320
439,7171
440,8330
441,9157
442,8184
443,8062
444,8386
445,8356
446,8290
447,8901
448,8268
449,8261
450,8826
451,8164
452,8447
453,8336
454,8347
455,7462
456,8081
457,8463
458,8557
459,7064
460,6940
461,7691
462,7770
463,8289
464,7339
465,7595
466,8018
467,8431
468,8336
469,7281
470,7338
471,7397
472,7147
473,7210
474,7430
475,8308
476,7503
477,8125
478,9202
479,6883
