idx,value
0,7471
1,8791
2,8316
3,8611
4,8308
5,7907
6,8323
7,7974
8,8056
9,7011
10,7473
11,7051
12,8310
13,7424
14,7657
15,7747
16,8758
17,8400
18,8985
19,8067
20,9817
21,7856
22,8459
23,7099
24,8269
25,8155
26,6936
27,7347
28,8283
29,8793
30,7272
31,6501
32,7607
33,8652
34,8802
35,8532
36,8132
37,7889
38,7368
39,7239
40,8430
41,7336
42,7668
43,6856
44,6720
45,9333
46,6457
47,7985
48,7404
49,6865
50,8476
51,8523
52,7296
53,7628
54,7826
55,7075
56,7900
57,8335
58,6762
59,5770
60,7507
61,7743
62,8095
63,8305
64,7794
65,9543
66,8515
67,7321
68,8499
69,8038
70,8083
71,7509
72,8804
73,7419
74,7503
75,9283
76,9326
77,9115
78,7228
79,8164
80,8802
81,9247
82,7198
83,6681
84,8584
85,7085
86,7430
87,7957
88,8285
89,8591
90,8505
91,8027
92,7908
93,8046
94,7388
95,8124
96,6881
97,8126
98,8368
99,7658
100,7329
101,6767
102,8259
103,7479
104,8742
105,9278
106,6750
107,9435
108,9190
109,8031
110,7624
111,7839
112,8120
113,7809
114,8676
115,8700
116,7858
117,6884
118,7877
119,8016
120,7517
121,7080
122,6561
123,7926
124,7134
125,7770
126,7517
127,6595
128,9454
129,8069
130,7635
131,7989
132,8174
133,8378
134,7581
135,7250
136,8398
137,8208
138,8294
139,6526
140,7873
141,7283
142,7136
143,8588
144,9450
145,7666
146,7064
147,7792
148,6864
149,8242
150,8081
151,7513
152,8153
153,8283
154,7753
155,8689
156,10000
157,8532
158,8006
159,7567
160,7548
161,8754
162,8251
163,7487
164,7598
165,7781
166,7667
167,7938
168,8275
169,10045
170,9219
171,8086
172,8275
173,8623
174,7804
175,7756
176,8110
177,7486
178,9130
179,7726
180,8417
181,7257
182,7718
183,6893
184,6887
185,9090
186,7625
187,7595
188,8290
189,7313
190,7587
191,7426
192,7814
193,8219
194,8958
195,8232
196,7636
197,8575
198,8153
199,7442
200,7168
201,6956
202,8709
203,8213
204,7980
205,9078
206,8054
207,8537
208,9296
209,8910
210,8779
211,9094
212,8164
213,9342
214,9502
215,8845
216,8761
217,8885
218,7665
219,5969
220,8444
221,9237
222,7984
223,8199
224,7906
225,7915
226,8659
227,7439
228,7544
229,7667
230,7149
231,8039
232,8157
233,9070
234,8988
235,7700
236,7822
237,7865
238,7181
239,7700
240,8071
241,7594
242,8730
243,7692
244,9621
245,7661
246,7097
247,8992
248,8418
249,8759
250,9124
251,7689
252,8824
253,7535
254,8070
255,7421
256,6846
257,7296
258,6784
259,7226
260,6985
261,8604
262,8473
263,8838
264,7397
265,8807
266,7764
267,7654
268,8619
269,7572
270,8936
271,7318
272,8734
273,8936
274,6944
275,8618
276,8792
277,6401
278,8559
279,6988
280,7002
281,6759
282,8120
283,7694
284,8399
285,9216
286,7963
287,7956
288,9302
289,7390
290,7475
291,8436
292,7393
293,9093
294,7906
295,7876
296,7808
297,9007
298,8114
299,9486
300,7821
301,7507
302,8178
303,7433
304,8034
305,8121
306,6109
307,7829
308,9504
309,8713
310,8598
311,8248
312,8367
313,8023
314,8251
315,8710
316,9439
317,7891
318,7717
319,7138
320,9270
321,9123
322,7804
323,8290
324,7084
325,8881
326,8109
327,8468
328,7712
329,7364
330,8049
331,7577
332,7537
333,8783
334,6939
335,8157
336,7699
337,8352
338,6545
339,7501
340,8770
341,7143
342,8821
343,6992
344,6750
345,8086
346,8239
347,7055
348,7634
349,7051
350,7811
351,8742
352,8271
353,7369
354,7347
355,7754
356,7355
357,8602
358,6696
359,8041
360,7573
361,8641
362,8382
363,8021
364,8114
365,8151
366,7231
367,7065
368,7926
369,7846
370,7340
371,7477
372,9063
373,8433
374,7883
375,8416
376,8584
377,7494
378,6290
379,8989
380,8347
381,7845
382,8182
383,9469
384,7258
385,8958
386,7343
387,9606
388,7679
389,8442
390,8116
391,8397
392,8492
393,6918
394,8138
395,7127
396,7701
397,6756
398,8467
399,9867
400,8702
401,8127
402,8452
403,8526
404,9700
405,8479
406,7373
407,7563
408,8425
409,8461
410,7458
411,7779
412,7397
413,7918
414,8583
415,8464
416,7424
417,7961
418,8210
419,8046
420,7683
421,8146
422,8899
423,7603
424,7505
425,7921
426,8142
427,8828
428,9196
429,8202
430,8507
431,9370
432,7314
433,9004
434,6659
435,7892
436,8141
437,8256
438,7908
439,8189
440,8463
441,8522
442,8526
443,8639
444,8809
445,7564
446,8573
447,7075
448,9943
449,8738
450,8927
451,8925
452,7167
453,7600
454,9099
455,8799
456,7739
457,7812
458,7930
459,7884
460,8937
461,7182
462,9481
463,8288
464,7190
465,8009
466,7355
467,7909
468,7935
469,8223
470,7696
471,7236
472,6909
473,8020
474,7617
