idx,value
639,7620
640,7454
641,7463
642,7463
643,7423
644,7371
645,6854
646,7092
647,6732
648,6758
649,6517
650,6563
651,6309
652,6149
653,6141
654,6137
655,6099
656,6310
657,6346
658,6336
659,6462
660,6554
661,6554
662,6688
663,6730
664,6668
665,6717
666,6701
667,6691
668,6669
669,6631
670,6621
671,6677
672,6617
673,6848
674,7644
675,7628
676,7612
677,7596
678,7622
679,7059
680,7179
681,7179
682,7238
683,7256
684,7190
685,7218
686,7214
687,7522
688,7546
689,7528
690,7701
691,7521
692,7726
693,7918
694,7972
695,7972
696,7954
697,8016
698,8110
699,8159
700,8047
701,7691
702,7713
703,7745
704,7691
705,7477
706,7303
707,7233
708,7077
709,7132
710,7076
711,7194
712,7194
713,7202
714,7254
715,7224
716,7296
717,6967
718,6949
719,7037
720,7009
721,6773
722,6713
723,6609
724,6609
725,6416
726,6526
727,6584
728,6904
729,6904
730,6848
731,6883
732,6807
733,6838
734,6778
735,6818
736,6818
737,6822
738,6496
739,6470
740,6460
741,6316
742,6788
743,6801
744,6819
745,6749
746,6749
747,6599
748,6407
749,6453
750,6347
751,6325
752,6225
753,6435
754,6515
755,6507
756,6471
757,6611
758,6459
759,6581
760,6593
761,6547
762,6601
763,6475
764,6501
765,6545
766,6329
767,6317
768,6473
769,6465
770,6573
771,6555
772,6635
773,6491
774,6491
775,6544
776,6652
777,6656
778,6618
779,6468
780,6804
781,6826
782,6826
783,6549
784,6945
785,6857
786,6865
787,6993
788,6802
789,6792
790,6819
791,6901
792,6895
793,6969
794,7195
795,7219
796,7360
797,7396
798,7261
799,7276
800,7286
801,7446
802,7496
803,7138
804,7138
805,7138
806,7000
807,7000
808,6586
809,6928
810,6974
811,6952
812,6946
813,6941
814,6879
815,6839
816,6963
817,6947
818,7329
819,7325
820,7349
821,7349
822,7287
823,7335
824,6939
825,6935
826,7223
827,7250
828,7214
829,7379
830,7337
831,7337
832,7355
833,7301
834,7229
835,7187
836,7266
837,7232
838,7244
839,7244
840,7253
841,7286
842,7410
843,7248
844,7172
845,7288
846,7222
847,7252
848,7356
849,7328
850,7365
851,7411
852,7607
853,7595
854,7619
855,7420
856,7492
857,7335
858,7338
859,7285
860,7213
861,7163
862,7201
863,7151
864,7139
865,7159
866,7133
867,7282
868,7240
869,7232
870,7368
871,7306
872,7252
873,7328
874,7328
875,7290
876,7382
877,7478
878,7444
879,7260
880,7244
881,7184
882,7208
883,7208
884,7253
885,7019
886,7127
887,6963
888,7015
889,7079
890,7131
891,7099
892,7249
893,7219
894,7241
895,7251
896,6969
897,6971
898,6817
899,6683
900,6721
901,6834
902,6822
903,6788
904,6814
905,6808
906,6741
907,6745
908,6731
909,6693
910,6563
911,6687
912,6687
913,6841
914,6887
915,6897
916,6942
917,7010
918,7010
919,6814
920,6788
921,6788
922,6808
923,6832
924,6818
925,6770
926,6770
927,6890
928,6954
929,7000
930,7000
931,6696
932,6698
933,6828
934,6770
935,6748
936,6704
937,6739
938,6545
939,6529
940,6351
941,6277
942,6187
943,6107
944,6129
945,6125
946,5805
947,6015
948,5933
949,5969
950,5973
951,6031
952,6083
953,6051
954,6005
955,5963
956,6027
957,6065
958,6059
959,6487
960,6526
961,6526
962,6576
963,6532
964,6504
965,6504
966,6572
967,6754
968,6748
969,6874
970,6700
971,6325
972,6777
973,6777
974,6707
975,6647
976,6539
977,6533
978,6436
979,6132
980,6132
981,6246
982,6294
983,6286
984,6350
985,6474
986,6766
987,6446
988,6600
989,6694
990,6702
991,6287
992,6189
993,6194
994,5599
995,5179
996,5203
997,5355
998,5385
999,5436
1000,5586
1001,5548
1002,5672
1003,5616
1004,5576
1005,5854
1006,5866
1007,5868
1008,5826
1009,5826
1010,5806
1011,5866
1012,5866
1013,5676
1014,5622
1015,5622
1016,5532
1017,5506
1018,5542
1019,5466
1020,5504
1021,5456
1022,5442
1023,6167
1024,6155
1025,6155
1026,6539
1027,6363
1028,6269
1029,6147
1030,6181
1031,6201
1032,6279
1033,6075
1034,6155
1035,6085
1036,6107
1037,5789
1038,5905
1039,5795
1040,5613
1041,5485
1042,5477
1043,5477
1044,5629
1045,5689
1046,5665
1047,5493
1048,5573
1049,5757
1050,5789
1051,5521
1052,5713
1053,6061
1054,6071
1055,6295
1056,6415
1057,6377
1058,6305
1059,6279
1060,6263
1061,6256
1062,6448
1063,6522
1064,6600
1065,6618
1066,6573
1067,6555
1068,6673
1069,6511
1070,6601
1071,6601
1072,6689
1073,6689
1074,6561
1075,6779
1076,6775
1077,6756
1078,6842
1079,6642
1080,6684
1081,6692
1082,6700
1083,6700
1084,6700
1085,6700
1086,6915
1087,6907
1088,6907
1089,6855
1090,6831
1091,6827
1092,6691
1093,6683
1094,6683
1095,6725
1096,6721
1097,6959
1098,6813
1099,6943
1100,6905
1101,6855
1102,6855
1103,6829
1104,6837
1105,6913
1106,6913
1107,6905
1108,6733
1109,6729
1110,6894
1111,6870
1112,6886
1113,6885
1114,6865
1115,6755
1116,6831
1117,6845
1118,6901
1119,6901
1120,7165
1121,7187
1122,7319
1123,7161
1124,7136
1125,7160
1126,7172
1127,7182
1128,7206
1129,7328
1130,7258
1131,7258
1132,7087
1133,6787
1134,6787
1135,6765
1136,6779
1137,6779
1138,6789
1139,6749
1140,6811
1141,6805
1142,6624
1143,6646
1144,6614
1145,6988
1146,6998
1147,7250
1148,7278
1149,7262
1150,7034
1151,7164
1152,7122
1153,6848
1154,6960
1155,7131
1156,7171
1157,7089
1158,7252
1159,7278
1160,7246
1161,7322
1162,7268
1163,7200
1164,7110
1165,7110
1166,7032
1167,6916
1168,6917
1169,6917
1170,7127
1171,7185
1172,7029
1173,7029
1174,6981
1175,6869
1176,7063
1177,7063
1178,7211
1179,7319
1180,7307
1181,7635
1182,7680
1183,7452
1184,7394
1185,7712
1186,7582
1187,7524
1188,7576
1189,7314
1190,7318
1191,7342
1192,7300
1193,7204
1194,7358
1195,7368
1196,7116
1197,7116
1198,7094
1199,6866
1200,6846
1201,6979
1202,6975
1203,6483
1204,6534
1205,6530
1206,6390
1207,6334
1208,6282
1209,6304
1210,6360
1211,6059
1212,6081
1213,6063
1214,6215
1215,6187
1216,6154
1217,6154
1218,6538
1219,6584
1220,6584
1221,6614
1222,6344
1223,6458
1224,6432
1225,6432
1226,6566
1227,6389
1228,6445
1229,6455
1230,6457
1231,6527
1232,6799
1233,6503
1234,6471
1235,6533
1236,6566
1237,6554
1238,6554
1239,6518
1240,6557
1241,6485
1242,6437
1243,5913
1244,6241
1245,6303
1246,6163
1247,5996
1248,5994
1249,5994
1250,6018
1251,6316
1252,6324
1253,6428
1254,6422
